Side,Price,Quantity,Total
ASK,2687.540,0.25300000,679.94762
ASK,2687.550,7.17340000,19278.871170000002
ASK,2687.560,5.11260000,13740.419256
ASK,2687.570,13.45740000,36167.704518
ASK,2687.590,0.00280000,7.525252
ASK,2687.600,4.82850000,12977.0766
ASK,2687.620,2.64530000,7109.561186
ASK,2687.630,0.00190000,5.106497
ASK,2687.640,0.00380000,10.213032
ASK,2687.650,0.04460000,119.86919
ASK,2687.720,0.00380000,10.213336
ASK,2687.730,1.38920000,3733.794516
ASK,2687.740,7.22250000,19412.202149999997
ASK,2687.750,8.62670000,23186.412925
ASK,2687.780,1.41860000,3812.8847080000005
ASK,2687.790,24.17340000,64973.022786
ASK,2687.800,1.79190000,4816.26882
ASK,2687.820,0.17000000,456.92940000000004
ASK,2687.830,4.45600000,11976.97048
ASK,2687.850,0.00380000,10.21383
ASK,2687.870,0.00280000,7.5260359999999995
ASK,2687.880,0.00190000,5.106972
ASK,2687.890,10.95160000,29436.696123999995
ASK,2687.910,0.00220000,5.913402
ASK,2687.940,13.41890000,36069.198066000004
ASK,2687.960,0.12810000,344.327676
ASK,2687.980,0.00500000,13.4399
ASK,2687.990,7.81720000,21012.555427999996
ASK,2688.000,4.45300000,11969.664
ASK,2688.010,6.30000000,16934.463
ASK,2688.020,8.61650000,23161.32433
ASK,2688.050,1.38920000,3734.2390600000003
ASK,2688.090,0.00380000,10.214742000000001
ASK,2688.100,1.50060000,4033.76286
ASK,2688.110,2.77850000,7468.913635000001
ASK,2688.130,9.93910000,26717.592883
ASK,2688.140,14.98890000,40292.261646
ASK,2688.150,0.00280000,7.52682
ASK,2688.170,3.34730000,8998.111441000001
ASK,2688.180,9.62270000,25867.549686
ASK,2688.220,0.00380000,10.215235999999999
ASK,2688.270,3.98650000,10716.788355
ASK,2688.280,6.30000000,16936.164
ASK,2688.320,4.15930000,11181.529376
ASK,2688.340,0.00570000,15.323538000000001
ASK,2688.350,0.05610000,150.81643499999998
ASK,2688.370,0.00390000,10.484642999999998
ASK,2688.400,0.00190000,5.10796
ASK,2688.430,5.98340000,16085.952061999998
ASK,2688.440,0.77090000,2072.518396
ASK,2688.450,1.02620000,2758.88739
ASK,2688.470,6.79680000,18272.992896
ASK,2688.480,4.15490000,11170.365552
ASK,2688.550,0.70410000,1893.008055
ASK,2688.560,5.87050000,15783.19148
ASK,2688.580,1.24030000,3334.6457739999996
ASK,2688.590,0.76670000,2061.341953
ASK,2688.600,8.33710000,22415.12706
ASK,2688.630,0.75590000,2032.3354170000002
ASK,2688.640,4.94460000,13294.249344
ASK,2688.660,11.47370000,30848.878241999995
ASK,2688.670,0.00380000,10.216946
ASK,2688.690,3.66040000,9841.680876
ASK,2688.700,1.43350000,3854.2514499999997
ASK,2688.710,0.00560000,15.056776
ASK,2688.720,2.52540000,6790.0934879999995
ASK,2688.740,0.72990000,1962.5113259999998
ASK,2688.750,14.96010000,40223.968875
ASK,2688.760,0.69300000,1863.31068
ASK,2688.780,7.57420000,20365.357476
ASK,2688.790,6.49290000,17458.044590999998
ASK,2688.800,0.00380000,10.21744
ASK,2688.840,7.43710000,19997.171964
ASK,2688.860,0.78200000,2102.68852
ASK,2688.870,8.25620000,22199.848493999998
ASK,2688.880,6.96300000,18722.671440000002
ASK,2688.890,0.70280000,1889.7518919999998
ASK,2688.910,18.59220000,49992.752501999996
ASK,2688.920,1.51020000,4060.8069840000003
ASK,2688.930,13.69510000,36825.165242999996
ASK,2688.950,2.28710000,6149.897545
ASK,2688.960,13.46150000,36197.43504
ASK,2688.970,0.92250000,2480.5748249999997
ASK,2688.980,0.22310000,599.911438
ASK,2688.990,3.71180000,9980.993081999999
ASK,2689.000,3.87080000,10408.5812
ASK,2689.010,3.11240000,8369.274724
ASK,2689.020,2.17880000,5858.836775999999
ASK,2689.030,1.55620000,4184.6684860000005
ASK,2689.040,5.43130000,14604.982952
ASK,2689.050,10.03280000,26978.70084
ASK,2689.060,3.86520000,10393.754712
ASK,2689.090,0.67780000,1822.665202
ASK,2689.100,3.09410000,8320.34431
ASK,2689.110,4.12610000,11095.536771000001
ASK,2689.120,0.83430000,2243.532816
ASK,2689.130,0.53920000,1449.978896
ASK,2689.160,0.72980000,1962.5489679999998
ASK,2689.170,0.04460000,119.936982
ASK,2689.180,1.23430000,3319.2548739999997
ASK,2689.190,0.77010000,2070.945219
ASK,2689.200,5.73600000,15425.251199999999
ASK,2689.240,0.00380000,10.219111999999999
ASK,2689.250,1.87600000,5045.032999999999
ASK,2689.260,25.53270000,68664.068802
ASK,2689.270,79.41890000,213578.865203
ASK,2689.290,4.14450000,11145.762405
ASK,2689.300,0.80580000,2167.03794
ASK,2689.310,2.76130000,7425.991703
ASK,2689.320,1.79220000,4819.799304
ASK,2689.330,9.69480000,26072.516484
ASK,2689.340,0.76350000,2053.31109
ASK,2689.360,8.25390000,22197.708504000002
ASK,2689.370,28.07080000,75492.767396
ASK,2689.380,4.88760000,13144.613688000001
ASK,2689.390,12.06290000,32441.842631
ASK,2689.400,1.39140000,3742.03116
ASK,2689.420,1.34350000,3613.23577
ASK,2689.440,7.16210000,19262.038224
ASK,2689.450,1.93350000,5200.0515749999995
ASK,2689.460,1.31230000,3529.378358
ASK,2689.470,4.14240000,11140.860528
ASK,2689.510,1.23250000,3314.8210750000003
ASK,2689.520,9.34800000,25141.632960000003
ASK,2689.540,0.25380000,682.6052520000001
ASK,2689.570,3.99830000,10753.707731
ASK,2689.600,4.12610000,11097.55856
ASK,2689.610,2.39990000,6454.7950390000005
ASK,2689.640,1.39140000,3742.3650959999995
ASK,2689.650,1.31230000,3529.627695
ASK,2689.660,0.05610000,150.88992599999997
ASK,2689.690,1.31720000,3542.859668
ASK,2689.700,5.26810000,14169.608569999999
ASK,2689.720,0.00380000,10.220936
ASK,2689.730,6.30170000,16949.871541
ASK,2689.760,4.14210000,11141.254896
ASK,2689.770,0.00690000,18.559413
ASK,2689.780,0.51790000,1393.037062
ASK,2689.820,13.28340000,35729.954988000005
ASK,2689.830,8.51630000,22907.399229
ASK,2689.850,1.39310000,3747.230035
ASK,2689.860,6.30000000,16946.118
ASK,2689.870,1.36050000,3659.568135
ASK,2689.880,0.04460000,119.968648
ASK,2689.890,1.38740000,3731.9533859999997
ASK,2689.900,0.91160000,2452.11284
ASK,2689.910,1.31720000,3543.1494519999997
ASK,2689.930,0.92350000,2484.1503549999998
ASK,2689.940,4.14720000,11155.719168
ASK,2689.950,1.55830000,4191.7490849999995
ASK,2689.960,0.00190000,5.110924
ASK,2689.980,5.28640000,14220.310272
ASK,2690.000,4.25490000,11445.681
ASK,2690.010,14.80420000,39823.446042
ASK,2690.060,0.00380000,10.222228
ASK,2690.090,1.55720000,4189.008148
ASK,2690.100,8.08120000,21739.23612
ASK,2690.120,1.55830000,4192.013996
ASK,2690.130,7.69120000,20690.327856
ASK,2690.140,0.91660000,2465.782324
